Date,PKD_Code,Revenue,Profit,Google_Trends,WIBOR,Energy_Price,Rev_Growth_YoY,Profit_Margin,Risk_WIBOR_Weight,Risk_Energy_Weight,Norm_Rev_Growth_YoY,Norm_Profit_Margin,Norm_Google_Trends,Norm_WIBOR,Norm_Energy_Price,Total_Risk_Score,Norm_Total_Risk,PKO_SCORE,PKO_SCORE_FINAL
2021-01-01,01,1566.1470984807897,188.44908836038667,62,0.5,120,0.0,0.12032655715621349,0.5,0.5,44.73583254123101,70.53890614308213,75.0,0.0,0.0,0.0,12.5,47.52853099098573,81.85079155762816
2021-02-01,01,1576.929742682568,211.3148504518428,71,0.5,120,0.0,0.13400397286715388,0.5,0.5,44.73583254123101,84.27500379827703,89.0625,0.0,0.0,0.0,12.5,54.49450052202471,92.17407308610447
2021-03-01,01,1560.1120008059868,105.51247782881526,74,0.5,120,0.0,0.06763134811751034,0.5,0.5,44.73583254123101,17.617612192971812,93.75,0.0,0.0,0.0,12.5,42.56927220096367,74.50137315522916
2021-04-01,01,1443.319750469207,186.23892689272503,66,0.5,120,0.0,0.12903511285851998,0.5,0.5,44.73583254123101,79.28482526191848,81.25,0.0,0.0,0.0,12.5,51.152714814753,87.22168354287045
2021-05-01,01,1398.1075725336862,88.97800235600597,68,0.5,120,0.0,0.06364174266988468,0.5,0.5,44.73583254123101,13.610889637156788,84.375,0.0,0.0,0.0,12.5,38.95542768980066,69.14580360778236
2021-06-01,01,1506.0584501801075,199.94830869812614,58,0.5,120,0.0,0.13276264853745523,0.5,0.5,44.73583254123101,83.02835365801178,68.75,0.0,0.0,0.0,12.5,48.151420493971656,82.77388828835666
2021-07-01,01,1540.6986598718788,112.19166846126544,60,0.5,120,0.0,0.07281869672723351,0.5,0.5,44.73583254123101,22.827216739662724,71.875,0.0,0.0,0.0,12.5,37.04869311030185,66.32010105818891
2021-08-01,01,1624.9358246623383,130.6600724835088,74,0.5,120,0.0,0.08040937401983858,0.5,0.5,44.73583254123101,30.45046127385438,93.75,0.0,0.0,0.0,12.5,45.13584201714018,78.30492449963592
2021-09-01,01,1560.2118485241756,198.41892289223168,57,0.5,120,0.0,0.12717434691956653,0.5,0.5,44.73583254123101,77.41607584381896,67.1875,0.0,0.0,0.0,12.5,46.560214931133096,80.4157868178195
2021-10-01,01,1452.597888911063,85.29240580238674,56,0.5,120,0.0,0.058717148395641704,0.5,0.5,44.73583254123101,8.665166754060763,65.625,0.0,0.0,0.0,12.5,32.341283113181454,59.34391225149031
2021-11-01,01,1369.0009793449296,190.71634314026335,60,0.5,120,0.0,0.13931059657205036,0.5,0.5,44.73583254123101,89.60439518114802,71.875,0.0,0.0,0.0,12.5,50.404128798598904,86.11230972798289
2021-12-01,01,1464.3427081999564,79.63978482602262,61,0.5,120,0.0,0.054386028885218984,0.5,0.5,44.73583254123101,4.315464894527544,73.4375,0.0,0.0,0.0,12.5,33.81509274127481,61.528037755110965
2022-01-01,01,1595.1470984807897,128.03947418899196,66,5.85,140,0.01851677918896044,0.08026812969846864,0.5,0.5,51.759075175817685,30.30861095413153,81.25,100.0,33.33333333333334,66.66666666666667,54.16666666666667,35.131111410238276,63.47832352020162
2022-02-01,01,1645.929742682568,210.21999658418463,61,5.85,140,0.04375591260180167,0.12772112389290932,0.5,0.5,61.33204442906498,77.96519872347531,73.4375,100.0,33.33333333333334,66.66666666666667,54.16666666666667,45.19056974008122,78.38602874346235
2022-03-01,01,1561.1120008059868,211.0911824272802,62,5.85,140,0.0006409796216446662,0.13521847395849618,0.5,0.5,44.978950167719745,85.49471561705829,75.0,100.0,33.33333333333334,66.66666666666667,54.16666666666667,42.25929484039425,74.04199940311129
2022-04-01,01,1455.319750469207,106.27603272024868,71,5.85,140,0.00831416600243906,0.07302589873186591,0.5,0.5,47.88931860613879,23.035307729227817,89.0625,100.0,33.33333333333334,66.66666666666667,54.16666666666667,34.85927379435386,63.07547130755548
