Data,Kod_PKD,Google_Trend_Score,WIBOR,Cena_Paliwa
2020-01-05,PKD_01,54.24713575040665,1.0,259.37189225
2020-01-05,PKD_10,55.069302376400074,1.0,259.37189225
2020-01-05,PKD_16,51.40943649289811,1.0,259.37189225
2020-01-05,PKD_23,52.19478141020645,1.0,259.37189225
2020-01-05,PKD_24,48.17037994365923,1.0,259.37189225
2020-01-05,PKD_29,60.14957931745016,1.0,259.37189225
2020-01-05,PKD_31,50.058632197907485,1.0,259.37189225
2020-01-05,PKD_35,53.72828414566718,1.0,259.37189225
2020-01-05,PKD_41,50.79552041327783,1.0,259.37189225
2020-01-05,PKD_46,47.41228355904391,1.0,259.37189225
2020-01-05,PKD_47,52.950114540163796,1.0,259.37189225
2020-01-05,PKD_49,48.42716668121256,1.0,259.37189225
2020-01-05,PKD_55,53.742837232914475,1.0,259.37189225
2020-01-05,PKD_62,45.59379552588942,1.0,259.37189225
2020-01-05,PKD_68,55.057127729778756,1.0,259.37189225
2020-01-12,PKD_01,50.60765852405549,1.0,256.78366124999997
2020-01-12,PKD_10,52.65844905479617,1.0,256.78366124999997
2020-01-12,PKD_16,52.6575755624487,1.0,256.78366124999997
2020-01-12,PKD_23,50.697055891239714,1.0,256.78366124999997
2020-01-12,PKD_24,47.73893437415143,1.0,256.78366124999997
2020-01-12,PKD_29,58.14118980002812,1.0,256.78366124999997
2020-01-12,PKD_31,51.035632079273874,1.0,256.78366124999997
2020-01-12,PKD_35,50.233232619492064,1.0,256.78366124999997
2020-01-12,PKD_41,49.39466517890586,1.0,256.78366124999997
2020-01-12,PKD_46,52.6493799403118,1.0,256.78366124999997
2020-01-12,PKD_47,51.328286372669695,1.0,256.78366124999997
2020-01-12,PKD_49,49.29593959187855,1.0,256.78366124999997
2020-01-12,PKD_55,53.87349003975547,1.0,256.78366124999997
2020-01-12,PKD_62,48.27795014040014,1.0,256.78366124999997
2020-01-12,PKD_68,52.77445883923003,1.0,256.78366124999997
2020-01-19,PKD_01,51.540936945197494,1.0,243.79613792
2020-01-19,PKD_10,54.177852806191275,1.0,243.79613792
2020-01-19,PKD_16,52.22671620696223,1.0,243.79613792
2020-01-19,PKD_23,47.62371319450847,1.0,243.79613792
2020-01-19,PKD_24,48.98264873003156,1.0,243.79613792
2020-01-19,PKD_29,55.2007326764676,1.0,243.79613792
2020-01-19,PKD_31,50.970688551806994,1.0,243.79613792
2020-01-19,PKD_35,48.26147090544117,1.0,243.79613792
2020-01-19,PKD_41,49.18150414757948,1.0,243.79613792
2020-01-19,PKD_46,51.633425272814456,1.0,243.79613792
2020-01-19,PKD_47,50.68384313764412,1.0,243.79613792
2020-01-19,PKD_49,49.988631634480406,1.0,243.79613792
2020-01-19,PKD_55,51.7857573470233,1.0,243.79613792
2020-01-19,PKD_62,49.32747504033014,1.0,243.79613792
2020-01-19,PKD_68,54.85773527852086,1.0,243.79613792
2020-01-26,PKD_01,50.235670255647065,1.0,238.283224
2020-01-26,PKD_10,54.75464575230025,1.0,238.283224
2020-01-26,PKD_16,51.34023942439531,1.0,238.283224
2020-01-26,PKD_23,48.2457116283958,1.0,238.283224
2020-01-26,PKD_24,48.62930867188665,1.0,238.283224
2020-01-26,PKD_29,52.87757104842986,1.0,238.283224
2020-01-26,PKD_31,50.873250186602775,1.0,238.283224
2020-01-26,PKD_35,48.66974001283086,1.0,238.283224
2020-01-26,PKD_41,50.10347416835468,1.0,238.283224
2020-01-26,PKD_46,49.55859918655267,1.0,238.283224
2020-01-26,PKD_47,49.37129486784004,1.0,238.283224
2020-01-26,PKD_49,51.06853298922201,1.0,238.283224
2020-01-26,PKD_55,52.31881900650118,1.0,238.283224
2020-01-26,PKD_62,49.45903278858686,1.0,238.283224
2020-01-26,PKD_68,53.8572377328741,1.0,238.283224
